PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON,PT_MEASURE,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
201228,C.J. Watson,1610612754,IND,63,48,15,18.9,31.2,33.8,1.7,0.1,0.3,4.0,4.1,2.1,0.054,0.067,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203468,CJ McCollum,1610612757,POR,38,21,17,12.5,11.1,14.2,0.7,0.1,0.1,1.5,1.9,0.9,0.064,0.078,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101139,CJ Miles,1610612739,CLE,51,21,30,19.3,14.5,19.7,1.0,0.1,0.1,2.2,2.5,1.2,0.07,0.08,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201171,Carl Landry,1610612758,SAC,18,5,13,12.9,13.3,10.0,0.3,0.0,0.0,1.1,0.8,0.4,0.021,0.029,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Carlos Boozer,1610612741,CHI,76,43,33,28.2,30.5,30.7,1.6,0.3,0.1,3.6,4.1,2.0,0.051,0.064,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,Carmelo Anthony,1610612752,NYK,77,35,42,38.7,41.2,50.5,3.1,0.3,0.5,6.9,7.9,3.8,0.076,0.093,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,Caron Butler,1610612760,OKC,55,21,34,25.3,27.0,27.4,1.5,0.2,0.2,2.9,3.7,1.9,0.055,0.069,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203467,Carrick Felix,1610612739,CLE,7,2,5,5.4,5.1,6.4,0.6,0.1,0.0,1.0,1.4,0.7,0.111,0.139,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201858,Cartier Martin,1610612737,ATL,59,27,32,14.7,12.5,13.4,0.6,0.1,0.1,1.3,1.4,0.7,0.045,0.057,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203810,Casper Ware,1610612755,PHI,9,3,6,12.9,22.2,24.9,1.1,0.2,0.2,1.9,2.7,1.6,0.05,0.07,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
